time,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_T,mag_y_T,mag_z_T,pressure_Pa,sim_z,sim_vz,sim_az,sim_ax_loc_ms2,sim_ay_loc_ms2,sim_az_loc_ms2,sim_mx_T,sim_my_T,sim_mz_T,sim_gx_rads,sim_gy_rads,sim_gz_rads,sim_q0,sim_q1,sim_q2,sim_q3,sim_tilt,sim_pressure_Pa
0.26000000,0.47405193,-0.50757075,-9.76355437,-0.00213053,0.00000000,0.00106526,0.00000960,-0.00001740,0.00004260,86245.12000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.28000000,0.47405193,-0.49799395,-9.76355437,-0.00213053,-0.00106526,-0.00106526,0.00001140,-0.00001800,0.00004320,86241.44000000,-0.00000000,0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.30000000,0.47884033,-0.52672437,-9.74440076,-0.00213053,0.00000000,-0.00106526,0.00001260,-0.00001800,0.00004260,86241.44000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.32000000,0.48362874,-0.52193596,-9.77313118,-0.00213053,-0.00106526,-0.00000000,0.00000960,-0.00001800,0.00004380,86239.68000000,-0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.34000000,0.47405193,-0.51714756,-9.79707319,-0.00213053,-0.00106526,-0.00000000,0.00001140,-0.00001680,0.00004380,86243.04000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.36000000,0.47884033,-0.52672437,-9.76355437,-0.00319579,-0.00106526,-0.00000000,0.00001080,-0.00001560,0.00004380,86243.36000000,-0.00000000,-0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.38000000,0.48362874,-0.52193596,-9.78270798,-0.00000000,-0.00106526,-0.00106526,0.00001020,-0.00001680,0.00004440,86245.44000000,0.00000000,-0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.40000000,0.49799395,-0.51714756,-9.75876597,-0.00106526,0.00106526,-0.00000000,0.00001140,-0.00001680,0.00004440,86244.00000000,-0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.42000000,0.48841714,-0.51235916,-9.76834277,-0.00213053,0.00000000,-0.00000000,0.00001080,-0.00001920,0.00004440,86254.08000000,-0.00000000,-0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.44000000,0.49799395,-0.50757075,-9.75397756,-0.00213053,-0.00106526,0.00106526,0.00001320,-0.00001860,0.00004320,86247.36000000,0.00000000,0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
